date,away_team,away_score,home_team,home_score,neutral,tournament,location,overtime
11/13/2015,Washington,77,Texas,71,N,,"Shanghai, China",
11/13/2015,Johnson FL,71,Florida A&M,103,,,,
11/13/2015,Pittsburgh Bradford,49,Buffalo,109,,,,
11/13/2015,Montana State,76,Hawaii,87,,,,
11/13/2015,Rice,65,California,97,,,,
11/13/2015,Monmouth,84,UCLA,81,,,,1
11/13/2015,San Francisco State,56,Saint Mary's,80,,,,
11/13/2015,Kean,62,Columbia,107,,,,
11/13/2015,Vermont,50,Eastern Michigan,70,,,,
11/13/2015,Arkansas Pine Bluff,58,Seattle,56,,,,
11/13/2015,Cal Poly,72,UNLV,74,,,,
11/13/2015,California San Diego,73,UC Irvine,89,,,,
11/13/2015,Lipscomb,65,Santa Clara,63,,,,2
11/13/2015,Illinois State,60,San Diego State,71,,,,
11/13/2015,Oregon Tech,81,Portland,98,,,,
11/13/2015,Jackson State,52,Oregon,80,,,,
11/13/2015,Cal State Fullerton,74,Loyola Marymount,79,,,,
11/13/2015,Great Falls,72,Idaho State,78,,,,
11/13/2015,Pepperdine,66,Fresno State,69,,,,
11/13/2015,Southern Utah,71,Utah,82,,,,
11/13/2015,USC Upstate,64,Texas A&M,104,,,,
11/13/2015,Southeastern Louisiana,77,TCU,90,,,,
11/13/2015,Chadron State,52,South Dakota State,87,,,,
11/13/2015,Florida,59,Navy,41,,,,
11/13/2015,Gardner Webb,59,Iowa,76,,,,
11/13/2015,Texas Lutheran,65,Incarnate Word,86,,,,
11/13/2015,Nevada,73,Coastal Carolina,56,N,,"Honolulu, HI",
11/13/2015,Stephen F. Austin,55,Baylor,97,,,,
11/13/2015,UAB,74,Auburn,75,,,,
11/13/2015,Pacific,61,Arizona,79,,,,
11/13/2015,Bristol,62,Wyoming,101,,,,
11/13/2015,Western Illinois,69,Wisconsin,67,,,,
11/13/2015,Utah State,73,Weber State,70,,,,
11/13/2015,Alabama A&M,68,Tulane,67,,,,1
11/13/2015,High Point,73,Texas Tech,77,,,,
11/13/2015,Green Bay,89,Stanford,93,,,,1
11/13/2015,Arkansas State,70,SIU Edwardsville,79,,,,
11/13/2015,Houston Baptist,69,New Mexico State,91,,,,
11/13/2015,Boise State,72,Montana,74,,,,
11/13/2015,Eastern Washington,88,Mississippi State,106,,,,
11/13/2015,UMKC,58,Minnesota,76,,,,
11/13/2015,Belmont,83,Marquette,80,,,,
11/13/2015,McNeese State,70,LSU,81,,,,
11/13/2015,Portland State,72,Grand Canyon,82,,,,
11/13/2015,Utah Valley,54,BYU,85,,,,
11/13/2015,Northern Arizona,70,Washington State,82,,,,
11/13/2015,IPFW,64,Valparaiso,78,,,,
11/13/2015,North Dakota State,79,UC Davis,71,,,,1
11/13/2015,Our Lady of the Lake,72,Texas A&M Corpus Chris,94,,,,
11/13/2015,Troy,82,South Florida,77,,,,
11/13/2015,Brown,65,Saint Peter's,77,,,,
11/13/2015,Jarvis Christian,82,North Texas,112,,,,
11/13/2015,Elon,85,Charlotte,74,,,,
