school_name,nickname,conference
Abilene Christian,Wildcats,Slnd
Air Force,Falcons,MWC
Akron,Zips,MAC
Alabama,Crimson Tide,SEC
Alabama A&M,Bulldogs,SWAC
Alabama State,Hornets,SWAC
Albany,Great Danes,AE
Alcorn State,Braves,SWAC
American,Eagles,Pat
Appalachian State,Mountaineers,SB
Arizona ,Wildcats,P12
Arizona State,Sun Devils,P12
Arkansas,Razorbacks,SEC
Arkansas Little Rock,Trojans,SB
Arkansas Pine Bluff,Golden Lions,SWAC
Arkansas State,Red Wolves,SB
Army,Black Knights,Pat
Auburn,Tigers,SEC
Austin Peay ,Governors,OVC
Ball State,Cardinals,MAC
Baylor ,Bears,B12
Belmont,Bruins,OVC
Bethune Cookman,Wildcats,MEAC
Binghamton,Bearcats,AE
Boise State,Broncos,MWC
Boston College,Eagles,ACC
Boston University,Terriers,Pat
Bowling Green,Falcons,MAC
Bradley,Braves,MVC
Brown,Bears,Ivy
Bryant,Bulldogs,NEC
Bucknell,Bison,Pat
Buffalo ,Bulls,MAC
Butler ,Bulldogs,BE
BYU,Cougars,WCC
Cal Poly,Mustangs,BW
Cal State Bakersfield ,Roadrunners,WAC
Cal State Fullerton,Titans,BW
Cal State Northridge,Matadors,BW
California ,Golden Bears,P12
Campbell,Fighting Camels,BSth
Canisius,Golden Griffins,MAAC
Central Arkansas,Bears,Slnd
Central Connecticut,Blue Devils,NEC
Central Michigan,Chippewas,MAC
Charleston Southern,Buccaneers,BSth
Charlotte,49ers,CUSA
Chattanooga,Mocs,SC
Chicago State,Cougars,WAC
Cincinnati ,Bearcats,Amer
Clemson,Tigers,ACC
Cleveland State,Vikings,Horz
Coastal Carolina,Chanticleers,BSth
Colgate,Raiders,Pat
College of Charleston,Cougars,CAA
Colorado ,Buffaloes,P12
Colorado State,Rams,MWC
Columbia,Lions,Ivy
Connecticut ,Huskies,Amer
Coppin State,Eagles,MEAC
Cornell,Big Red,Ivy
Creighton,Blue Jays,BE
Dartmouth,Big Green,Ivy
Davidson,Wildcats,A10
Dayton ,Flyers,A10
Delaware,Fightin' Blue Hens,CAA
Delaware State,Hornets,MEAC
Denver,Pioneers,Sum
DePaul,Blue Demons,BE
Detroit,Titans,Horz
Drake,Bulldogs,MVC
Drexel,Dragons,CAA
Duke ,Blue Devils,ACC
Duquesne,Dukes,A10
East Carolina,Pirates,Amer
East Tennessee State,Buccaneers,SC
Eastern Illinois,Fighting Panthers,OVC
Eastern Kentucky,Colonels,OVC
Eastern Michigan,Eagles,MAC
Eastern Washington,Eagles,BSky
Elon,Pheonix,CAA
Evansville,Purple Aces,MVC
Fairfield,Stags,MAAC
Fairleigh Dickinson ,Knights,NEC
FIU,Golden Panthers,CUSA
Florida,Gators,SEC
Florida A&M,Rattlers,MEAC
Florida Atlantic,Owls,CUSA
Florida Gulf Coast ,Eagles,ASun
Florida State,Seminoles,ACC
Fordham,Rams,A10
Fresno State ,Bulldogs,MWC
Furman,Paladins,SC
Gardner Webb,Runnin' Bulldogs,BSth
George Mason,Patriots,A10
George Washington,Colonials,A10
Georgetown,Hoyas,BE
